fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
214.51999999999998,138.98-192.98,#62,#11,0.0,0.0,0.0,97.08,150.21,1230.5,7.23,Marvin Harrison Jr.,ARI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
210.42000000000002,135.9-189.32,#64,#12,0.0,0.0,0.0,95.62,151.49,1212.68,7.03,Chris Olave,NO,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
199.67499999999998,134.18-187.28,#65,#13,0.0,0.0,0.0,77.89,133.57,1094.29,8.48,Mike Evans,TB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
197.4,132.08-184.78,#69,#14,0.0,0.0,0.0,77.94,118.58,1147.01,7.5,Brandon Aiyuk,SF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
202.67,131.86-184.52,#70,#15,4.44,25.59,0.17,88.96,133.43,1207.88,5.66,Jaylen Waddle,MIA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
202.72,131.42-184,#71,#16,4.63,26.26,0.2,90.02,140.46,1093.5,7.51,Cooper Kupp,LA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
194.585,131.07-183.59,#72,#17,29.75,172.4,2.03,74.51,121.28,887.28,6.88,Deebo Samuel,SF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
202.835,130.54-182.96,#73,#18,0.0,0.0,0.0,92.17,145.85,1133.8,7.33,DeVonta Smith,PHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
192.17000000000002,127.08-178.86,#75,#19,0.0,0.0,0.0,78.4,136.07,1098.27,7.3,D.K. Metcalf,SEA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
194.67,125.7-177.2,#78,#20,0.0,0.0,0.0,86.44,142.54,1139.93,6.24,D.J. Moore,CHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
