params/verbose,params/vf_coef,params/device,time/iterations,params/gamma,params/seed,params/learning_rate,params/stats_window_size,params/rollout_buffer_kwargs,params/policy_kwargs,rollout/ep_rew_mean,time/fps,params/normalize_advantage,time/time_elapsed,rollout/ep_len_mean,params/target_kl,params/n_steps,params/clip_range,params/rollout_buffer_class,params/batch_size,params/_init_setup_model,params/gae_lambda,params/clip_range_vf,params/n_epochs,params/use_sde,params/sde_sample_freq,time/total_timesteps,params/max_grad_norm,params/policy,params/ent_coef,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
,,,79,,,,,,,-0.36104226582278476,14,,84,15.0,,,,,,,,,,,,1185,,,,-1.7542502403259277,0.2,0.32953083515167236,0.0,780,0.0016701961991596904,5e-05,-0.02443566918373108,4.3702126e-05,0.06078844182193279,,,
,,,80,,,,,,,-0.3657342375,14,,85,15.0,,,,,,,,,,,,1200,,,,-1.7484703302383422,0.2,0.10801959037780762,0.0,790,-0.0036362576624355825,5e-05,0.19114066660404205,9.713173e-05,0.5627507746219635,,,
,,,81,,,,,,,-0.3700306296296296,14,,86,15.0,,,,,,,,,,,,1215,,,,-1.7454278230667115,0.2,0.3798843026161194,0.0,800,-0.005082949167118045,5e-05,-0.024242443963885307,0.0003225724,0.06504104845225811,,,
,,,82,,,,,,,-0.35782930487804876,14,,87,15.0,,,,,,,,,,,,1230,,,,-1.7472613215446473,0.2,0.7781683504581451,0.0,810,-0.00823745880043134,5e-05,-0.05444781854748726,0.00041886567,0.005599465500563383,,,
,,,83,,,,,,,-0.3618144096385542,14,,88,15.0,,,,,,,,,,,,1245,,,,-1.7518800735473632,0.2,-1.5433192253112793,0.0,820,0.0006526100618067688,5e-05,0.15483616292476654,0.00025796096,0.5135660111904145,,,
,,,84,,,,,,,-0.3663272142857143,14,,89,15.0,,,,,,,,,,,,1260,,,,-1.7545811414718628,0.2,0.12181353569030762,0.0,830,-0.001287606719948542,5e-05,0.0030660517513751984,3.1038126e-05,0.1050985500216484,,,
,,,85,,,,,,,-0.3713517294117647,14,,90,15.0,,,,,,,,,,,,1275,,,,-1.751558291912079,0.2,0.4848003387451172,0.0,840,-0.005788652523576054,5e-05,-0.04561344161629677,0.00042163132,0.012150777783244849,,,
,,,86,,,,,,,-0.3591051395348837,14,,91,15.0,,,,,,,,,,,,1290,,,,-1.7412912487983703,0.2,-0.5284937620162964,0.0,850,-0.011799697591923185,5e-05,-0.05448951572179794,0.00094932714,0.02003677040338516,,,
,,,87,,,,,,,-0.34716706896551724,14,,92,15.0,,,,,,,,,,,,1305,,,,-1.7345207691192628,0.2,-8.315224647521973,0.0,860,0.003305817077247042,5e-05,0.19834476709365845,0.0002524376,0.6023914873600006,,,
,,,88,,,,,,,-0.3519407045454545,14,,93,15.0,,,,,,,,,,,,1320,,,,-1.7290221929550171,0.2,-9.839223861694336,0.0,870,-0.0008778945036222563,5e-05,0.13692909479141235,3.602902e-05,0.5752219945192337,,,
,,,89,,,,,,,-0.35634713483146063,14,,94,15.0,,,,,,,,,,,,1335,,,,-1.7308821558952332,0.2,-0.032013773918151855,0.0,880,-0.0026292288130694173,5e-05,0.0879899188876152,7.135073e-05,0.2763396516442299,,,
,,,90,,,,,,,-0.3445721555555555,14,,95,15.0,,,,,,,,,,,,1350,,,,-1.7349013805389404,0.2,0.07935559749603271,0.0,890,-0.003017466587674278,5e-05,-0.012787450104951859,0.00010298888,0.13482301607728003,,,
,,,91,,,,,,,-0.34840598901098896,14,,96,15.0,,,,,,,,,,,,1365,,,,-1.7358568072319032,0.2,-6.65526008605957,0.0,900,-0.0045454087527474485,5e-05,0.22380921244621277,0.00017497143,0.58618203997612,,,
,,,92,,,,,,,-0.33655638043478253,14,,97,15.0,,,,,,,,,,,,1380,,,,-1.7288411140441895,0.2,-0.04117274284362793,0.0,910,-0.0036582498831072563,5e-05,-0.004245594143867493,0.00019729932,0.10505743697285652,,,
,,,93,,,,,,,-0.340280193548387,14,,98,15.0,,,,,,,,,,,,1395,,,,-1.7282575011253356,0.2,-8.54098129272461,0.0,920,-0.003998444264676948,5e-05,0.2154136300086975,0.00013858874,0.5970628678798675,,,
,,,94,,,,,,,-0.34324728723404246,14,,99,15.0,,,,,,,,,,,,1410,,,,-1.7311804294586182,0.2,-0.14054977893829346,0.0,930,-0.005885333619468724,5e-05,0.022687163203954697,0.00038129886,0.17763494700193405,,,
