time/iterations,params/rollout_buffer_kwargs,params/learning_rate,params/n_steps,params/sde_sample_freq,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/gae_lambda,params/seed,params/rollout_buffer_class,params/batch_size,params/policy_kwargs,time/total_timesteps,params/gamma,params/normalize_advantage,mean_reward,params/policy,time/time_elapsed,params/_init_setup_model,time/fps,params/clip_range,params/stats_window_size,params/target_kl,params/n_epochs,params/device,params/ent_coef,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/use_sde,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
47,,,,,,0.8054859999999999,,,,,,,96256,,,0.053428315,,6695,,14,,,,,,,,15.05,,,,,,,,,,,,,,
48,,,,,,0.8052542500000002,,,,,,,98304,,,0.053675864,,6836,,14,,,,,,,,15.0,,,0.2,470,-0.01658818513242295,0.0003,0.265673828125,0.9735776633024216,-0.8774959219619631,0.025820129,-0.038948919624090195,0.00032015364026847235,,
,,,,,,,,,,,,,100000,,,0.05359734,,,,,,,,,,,,,,,0.2,480,-0.017860126626328566,0.0003,0.2384765625,0.9826878756284714,-0.8852516718208789,0.031020153,-0.05025191232562065,0.00021381935173394594,0.8195439655333757,15.0
49,,,,,,0.79271841,,,,,,,100352,,,0.052391868,,6984,,14,,,,,,,,15.05,,,,,,,,,,,,,,
50,,,,,,0.8104798999999998,,,,,,,102400,,,0.054039326,,7124,,14,,,,,,,,15.0,,,0.2,490,-0.011987479508388788,0.0003,0.265625,0.6459309160709381,-0.8724038489162922,0.028079502,-0.011961725540459156,0.00722988946172336,,
51,,,,,,0.8066587900000002,,,,,,,104448,,,0.053637635,,7266,,14,,,,,,,,15.0,,,0.2,500,-0.01384763037931407,0.0003,0.2314453125,0.9298815578222275,-0.8613848948851228,0.022286627,-0.061985548585653305,0.00035481363029248313,,
,,,,,,,,,,,,,105000,,,,,,,,,,,,,,,,,,0.2,510,-0.012950784415443195,0.0003,0.2578125,0.9776558466255665,-0.8387843441218138,0.029597303,-0.045326732099056244,0.0002507342717763095,0.8166998136788607,15.0
52,,,,,,0.8080867500000001,,,,,,,106496,,,0.05361643,,7409,,14,,,,,,,,15.05,,,,,,,,,,,,,,
53,,,,,,0.8124897000000001,,,,,,,108544,,,0.054276213,,7544,,14,,,,,,,,15.0,,,0.2,520,-0.014493667865463068,0.0003,0.26337890625,0.9763388261198997,-0.8042054859921336,0.026623301,-0.04308224096894264,0.0002917930628882459,,
,,,,,,,,,,,,,110000,,,0.05421892,,,,,,,,,,,,,,,0.2,530,-0.01929494149517268,0.0003,0.23017578125,0.9826088361442089,-0.7645052503794432,0.027493577,-0.0447215661406517,0.00020583507980518335,0.839726111292839,15.0
