params/learning_starts,params/stats_window_size,params/gamma,params/target_update_interval,params/exploration_initial_eps,time/episodes,time/time_elapsed,rollout/ep_len_mean,params/verbose,time/fps,params/exploration_final_eps,params/gradient_steps,params/batch_size,params/train_freq,rollout/ep_rew_mean,time/total_timesteps,params/policy,params/buffer_size,params/tau,params/policy_kwargs,params/exploration_fraction,params/learning_rate,rollout/exploration_rate,params/max_grad_norm,train/loss,train/learning_rate,mean_reward,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,,,,672,714,15.05,,14,,,,,-0.20979255000000005,10090,,,,,,,0.8082900000000003,,0.008923891931772232,0.0003,,2272,,
,,,,,676,718,15.05,,14,,,,,-0.19737252000000002,10150,,,,,,,0.8071500000000001,,0.00518915057182312,0.0003,,2287,,
,,,,,680,722,15.05,,14,,,,,-0.2111318,10210,,,,,,,0.8060100000000001,,0.017702776938676834,0.0003,,2302,,
,,,,,684,727,15.05,,14,,,,,-0.22658885,10270,,,,,,,0.80487,,0.004017301835119724,0.0003,,2317,,
,,,,,688,731,15.05,,14,,,,,-0.22596822,10330,,,,,,,0.8037299999999999,,0.0011572896037250757,0.0003,,2332,,
,,,,,692,736,15.05,,14,,,,,-0.22684075999999997,10390,,,,,,,0.8025899999999998,,0.019906114786863327,0.0003,,2347,,
,,,,,696,740,15.05,,14,,,,,-0.19935859999999997,10450,,,,,,,0.8014499999999998,,0.009140575304627419,0.0003,,2362,,
,,,,,700,744,15.05,,14,,,,,-0.21429191,10510,,,,,,,0.8003099999999996,,0.007141035981476307,0.0003,,2377,,
,,,,,704,748,15.05,,14,,,,,-0.22867516000000002,10570,,,,,,,0.7991699999999995,,0.005668885540217161,0.0003,,2392,,
,,,,,708,752,15.05,,14,,,,,-0.25794489,10630,,,,,,,0.7980299999999995,,0.011201929301023483,0.0003,,2407,,
,,,,,712,757,15.05,,14,,,,,-0.27370490000000003,10690,,,,,,,0.7968900000000004,,0.004519185516983271,0.0003,,2422,,
,,,,,716,761,15.05,,14,,,,,-0.31696731000000006,10750,,,,,,,0.7957500000000004,,0.01061699166893959,0.0003,,2437,,
,,,,,720,766,15.05,,14,,,,,-0.30009688000000007,10810,,,,,,,0.7946100000000003,,0.01108130905777216,0.0003,,2452,,
