player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Jauan Jennings,SFO,WR,49.4,28.9,355.0,1.3,0.0,0.0,0.0,57.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Darnell Mooney,ATL,WR,65.3,32.7,406.0,0.0,3.0,0.0,0.0,57.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
JuJu Smith-Schuster,NEP,WR,57.3,34.2,316.0,1.0,6.0,0.0,0.0,55.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Rondale Moore,ATL,WR,51.6,29.4,270.0,1.0,74.0,0.0,0.0,54.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Parris Campbell,PHI,WR,52.1,31.6,282.0,1.2,1.0,0.0,0.0,51.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Ja'Lynn Polk,NEP,WR,58.2,28.4,320.0,0.6,12.0,0.0,0.4,50.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
KaVontae Turpin,DAL,WR,21.1,12.7,147.0,3.5,61.0,0.3,0.0,49.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Terrace Marshall,CAR,WR,55.4,28.9,339.0,0.0,0.0,0.0,0.0,48.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Allen Lazard,NYJ,WR,55.7,23.6,300.0,0.7,7.0,0.0,0.0,47.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jalin Hyatt,NYG,WR,49.2,22.2,355.0,0.0,0.0,0.0,0.3,46.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Mike Williams,NYJ,WR,46.2,23.4,246.0,1.4,8.0,0.0,0.8,44.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Braxton Berrios,MIA,WR,34.8,24.6,242.0,1.0,1.0,0.0,0.0,42.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Bo Melton,GBP,WR,49.2,24.4,254.0,0.3,24.0,0.0,0.0,41.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Cedric Tillman,CLE,WR,59.2,26.6,255.0,0.0,16.0,0.0,0.0,40.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
David Bell,CLE,WR,36.4,17.3,192.0,2.1,0.0,0.0,0.0,40.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Malachi Corley,NYJ,WR,51.0,22.0,212.0,0.0,29.0,0.9,0.0,40.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Xavier Gipson,NYJ,WR,34.3,17.7,183.0,0.4,49.0,1.0,0.0,40.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
KhaDarel Hodge,ATL,WR,32.0,18.8,308.0,0.0,0.0,0.0,0.0,40.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Van Jefferson,PIT,WR,47.3,23.4,203.0,0.0,16.0,0.8,0.0,38.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Ricky Pearsall,SFO,WR,28.6,16.9,226.0,0.7,27.0,0.0,0.0,38.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
River Cracraft,MIA,WR,24.4,17.0,231.0,1.0,0.0,0.0,0.0,37.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Michael Gallup,FA,WR,40.6,20.3,219.0,0.7,5.0,0.0,0.0,36.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Allen Robinson,NYG,WR,44.8,28.5,220.0,0.0,6.0,0.0,0.0,36.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Lil'Jordan Humphrey,DEN,WR,16.8,12.6,126.0,2.7,0.0,0.0,0.0,35.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Skyy Moore,KCC,WR,46.2,22.9,214.0,0.2,12.0,0.0,0.4,34.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Ronnie Bell,SFO,WR,16.7,7.4,103.0,3.3,0.0,0.0,0.0,33.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Mecole Hardman,KCC,WR,28.9,17.7,185.0,0.9,3.0,0.0,0.0,32.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Chris Moore,ARI,WR,30.3,14.9,248.0,0.0,-1.2,0.0,0.0,32.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Olamide Zaccheaus,WAS,WR,31.2,16.9,189.0,0.7,0.0,0.0,0.0,31.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
