player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Sean Tucker,RB,12.7003563035,4.225614627,29.52124986,0.164768204,5.532887632,10.9530527,46.8213022,0.338039405,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cam Akers,RB,13.676241613,2.183800032,15.77453106,0.110014405,2.767849597,18.83050191,75.22863513,0.481126518,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
La'Mical Perine,RB,12.2559236545,3.652039569,26.40400013,0.104254086,4.778039894,12.69018628,52.56377863,0.326096747,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DeeJay Dallas,RB,11.192747194,4.190230308,25.27723513,0.072604749,5.233812986,8.186604709,34.94466371,0.246178252,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kene Nwangwu,RB,12.127740773000003,2.084181008,14.50407238,0.078855536,2.813132043,10.77726967,45.47321945,0.306818483,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Sione Vaki,RB,11.687926892,2.019882722,14.48625806,0.087692917,2.644242117,12.67167886,53.25974813,0.425138177,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Raheem Blackshear,RB,11.6097053545,2.046264861,14.50530022,0.053432739,2.589424767,11.89594119,51.1502163,0.43608631,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Darrynton Evans,RB,10.5463626955,3.968389087,28.99003031,0.145352211,5.31927765,7.8886288,32.77940041,0.258795565,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Michael Burton,RB,10.271025664500002,4.288191651,28.87370607,0.143530611,5.69797122,7.717503811,31.84531348,0.208632812,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Avery Williams,RB,9.963703597999999,4.41242898,29.67196459,0.18748693,5.447973442,3.990082056,17.40593965,0.158621709,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jacob Saylors,RB,9.98368825,4.160144916,28.08168408,0.149871775,5.436239819,7.111728003,29.2990505,0.219573792,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Hunter Luepke,RB,9.429142807500002,4.672407147,33.31270862,0.198309347,6.092223685,4.196047243,17.95479518,0.136126667,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
