player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
Gabe Davis,WR,144.515183243,52.64217571,798.3157432,6.442385789,93.96614141,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Adam Thielen,WR,134.24041416400001,73.883091,706.263335,4.594718069,100.0974556,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Curtis Samuel,WR,134.99019946800001,63.26123352,647.6226957,4.516837465,91.18927579,12.52260963,64.39046336,0.905798455,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jameson Williams,WR,134.902437525,53.99962836,777.4828644,4.221388159,90.33105365,4.485483171,33.68886835,0.363274795,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rashid Shaheed,WR,131.29828337799998,54.86881253,749.0748739,3.855148882,86.19922602,4.240851012,27.08334463,0.149924211,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Demario Douglas,WR,135.709010014,59.70053696,779.0509142,3.19655791,96.91948949,11.64458714,69.6552153,0.327197339,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Khalil Shakir,WR,125.577311629,60.28781389,721.4476424,3.618074175,85.19333339,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ja'Lynn Polk,WR,114.68479724700002,55.94543765,694.9204756,2.90285397,91.25880402,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Adonai Mitchell,WR,107.82889208200001,46.32229616,643.9301534,3.386507681,79.5507176,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Xavier Legette,WR,110.7165494,47.69527276,624.9408022,3.138096147,76.77298165,6.298164001,38.93984894,0.316661187,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
