rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
85.2,296.0,4.0,23.5,16.9,131.0,0.0,0.0,75.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Latavius Murray,1476,Latavius Murray,,RB
106.3,443.0,1.7,31.5,19.8,113.0,0.0,0.4,74.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,MarShawn Lloyd,11581,MarShawn Lloyd,GB,RB
78.4,344.0,1.3,35.5,24.1,156.0,0.0,0.0,69.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jeffery Wilson,5284,Jeff Wilson,MIA,RB
126.0,411.0,0.2,38.4,26.3,146.0,0.0,1.2,68.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Miles Sanders,6151,Miles Sanders,CAR,RB
104.1,502.0,0.0,21.3,16.1,103.0,0.0,0.3,67.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Trey Sermon,7593,Trey Sermon,IND,RB
69.7,292.0,0.3,24.1,20.4,189.0,1.1,0.0,66.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Chase Brown,9224,Chase Brown,CIN,RB
64.2,205.0,0.8,30.3,23.2,217.0,1.1,0.0,65.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Clyde Edwards-Helaire,6820,Clyde Edwards-Helaire,KC,RB
137.4,401.0,1.2,16.9,11.9,84.0,0.4,0.0,64.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Dameon Pierce,8129,Dameon Pierce,HOU,RB
96.6,348.0,0.0,33.7,26.2,129.0,0.4,0.9,61.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Bucky Irving,11584,Bucky Irving,TB,RB
50.6,304.0,2.3,13.4,10.3,119.0,0.0,0.0,60.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Keaton Mitchell,9511,Keaton Mitchell,BAL,RB
92.7,364.0,2.5,10.7,7.9,52.0,0.0,0.0,60.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,D'Onta Foreman,4111,D'Onta Foreman,CLE,RB
96.0,292.0,0.1,40.2,26.9,172.0,0.4,1.1,60.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Braelon Allen,11576,Braelon Allen,NYJ,RB
