Rank,Player ID,Player Name,Team,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,>= 250yds,>= 300yds,>= 350yds,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts,pos,source,source_url
29,14067,"Minshew, Gardner",LVR,QB,488.6,304.2,3338.0,17.9,6.9,5.0,1.6,3.0,0.4,1.0,11.1,37.3,4.5,2.2,1.0,38.6,106.0,1.1,2.0,47.9,244.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
30,16584,"McCarthy, J.J.",MIN,QB,407.3,271.9,3001.0,18.9,8.5,3.6,2.7,2.1,1.1,0.9,13.3,31.0,8.0,2.0,0.9,36.1,136.0,1.9,3.5,53.6,232.7,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
31,16148,"Young, Bryce",CAR,QB,518.3,307.9,3004.0,11.2,6.3,3.5,1.1,0.0,0.0,0.4,9.6,60.8,3.6,2.0,0.9,41.5,248.0,0.4,6.1,31.5,201.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
32,12616,"Brissett, Jacoby",NEP,QB,386.9,247.1,2499.0,14.9,5.8,5.1,2.6,0.0,0.9,0.5,11.6,32.7,3.0,1.7,0.7,37.9,142.0,1.0,1.4,35.5,191.2,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
33,15238,"Fields, Justin",PIT,QB,87.6,54.4,2600.0,2.6,1.3,0.1,0.6,0.4,0.0,0.1,1.1,6.1,0.7,0.4,0.2,28.0,131.0,0.9,0.4,11.3,157.0,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
34,13592,"Darnold, Sam",MIN,QB,53.7,32.0,2555.0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,1.8,6.2,0.4,0.2,0.1,10.2,16.0,0.3,1.9,2.7,127.5,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
35,16580,"Maye, Drake",NEP,QB,98.1,57.7,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.0,0.5,0.3,0.1,5.7,34.0,0.0,0.0,0.0,92.0,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
36,9064,"Flacco, Joe",IND,QB,153.7,97.2,1200.0,8.7,2.5,0.0,0.4,2.8,1.4,1.5,5.5,6.3,1.4,0.8,0.3,12.6,11.0,0.0,1.5,15.2,88.3,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
37,15693,"Howell, Sam",SEA,QB,157.7,94.7,987.0,4.4,2.1,0.9,0.2,0.8,0.0,0.3,5.6,15.5,1.2,0.7,0.3,12.5,75.0,1.7,0.5,13.9,78.5,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
38,14358,"Browning, Jake",CIN,QB,109.6,73.9,800.0,5.8,3.2,1.1,0.4,0.0,0.0,1.1,2.4,11.9,1.0,0.5,0.2,17.1,103.0,1.1,0.0,15.2,78.2,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
