Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
25,11247,"Ertz, Zach",WAS,TE,79.8,10.9,51.9,438.0,2.5,1.7,0.8,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,1.0,0.0,0.0,0.7,7.8,85.3,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
26,12678,"Higbee, Tyler",LAR,TE,69.2,6.4,46.7,451.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,0.0,0.0,1.0,0.0,6.1,81.8,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
27,13763,"Dissly, Will",LAC,TE,58.8,7.5,41.4,411.0,3.0,1.8,0.8,0.0,0.0,0.0,0.4,1.6,0.8,0.3,0.1,6.0,0.0,0.0,0.0,5.1,80.6,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
28,14239,"Moreau, Foster",NOS,TE,42.8,7.9,33.7,405.0,3.1,2.0,0.0,1.1,0.0,0.0,0.0,1.6,0.8,0.3,0.1,50.0,0.0,0.0,0.8,5.7,79.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
29,15840,"Woods, Jelani",IND,TE,56.4,5.5,38.6,462.0,2.1,1.0,0.7,0.0,0.4,0.0,0.0,1.8,0.9,0.3,0.1,1.0,0.0,0.0,0.3,3.2,79.3,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
30,15873,"Bellinger, Daniel",NYG,TE,65.2,4.0,52.4,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,0.3,0.1,0.0,0.0,0.0,0.8,1.4,78.7,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
31,16641,"Bowers, Brock",LVR,TE,58.6,11.5,39.1,442.0,2.4,1.3,0.8,0.4,0.0,0.0,0.0,1.8,0.9,0.3,0.1,1.0,0.0,0.0,0.5,7.4,78.3,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
32,14143,"Knox, Dawson",BUF,TE,57.7,13.4,38.2,349.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,9.6,77.1,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
33,16212,"Mayer, Michael",LVR,TE,52.2,6.4,35.9,451.0,1.1,0.9,0.2,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,0.0,0.0,0.0,0.0,2.3,69.9,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
34,13672,"Gesicki, Mike",CIN,TE,56.2,7.1,38.3,335.0,2.5,0.7,1.9,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,0.0,0.0,0.0,0.3,5.0,67.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
