player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Justin Watson,KCC,WR,56.4,30.5,453.0,2.3,0.0,0.0,0.9,72.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jonathan Mingo,CAR,WR,106.7,50.3,454.0,0.0,2.0,0.0,0.0,70.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Robert Woods,HOU,WR,77.4,39.4,425.0,1.1,11.0,0.0,0.0,70.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Dyami Brown,WAS,WR,63.6,34.8,415.0,1.6,14.0,0.0,0.0,70.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jauan Jennings,SFO,WR,49.3,30.1,370.0,2.8,5.0,0.0,0.0,69.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Nick Westbrook-Ikhine,TEN,WR,47.8,26.6,412.0,1.9,7.0,0.0,0.0,68.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Noah Brown,FA,WR,67.4,31.6,462.0,0.9,2.0,0.0,0.0,67.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Brandon Johnson,FA,WR,41.3,25.4,331.0,3.1,0.0,0.0,0.0,66.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Skyy Moore,KCC,WR,50.0,30.6,336.0,2.5,18.0,0.0,0.0,65.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
K.J. Osborn,NEP,WR,63.2,34.6,372.0,1.6,4.0,0.0,0.0,64.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Odell Beckham,MIA,WR,51.0,29.0,419.0,1.5,5.0,0.0,0.9,64.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jahan Dotson,PHI,WR,61.6,32.5,333.0,2.3,0.0,0.0,0.0,63.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Trenton Irwin,CIN,WR,42.9,28.9,360.0,1.8,0.0,0.0,0.0,61.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Cedrick Wilson,NOS,WR,51.6,26.2,331.0,2.2,-0.1,0.0,0.0,59.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
